page_no,preceding_text,link_text,link_destination,link_domain,is_jade_link,is_sublink
1,P observed that the following statements from Alford v Magee,"(1952)85 CLR 437,",https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=1952041631&pubNum=3586&originatingDoc=I97562d70879e11e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=a6eb94b965bf4925a0d9cee229290fba&contextData=(sc.Default)&comp=wlau,thomsonreuters,FALSE,FALSE
1,"the following statements from Alford v Magee (1952)85 CLR 437,",466;,https://jade.io/article/64813/section/141037,jade,TRUE,TRUE
1,"following statements from Alford v Magee (1952)85 CLR 437, 466;","[1952]HCA 3(Dixon,",https://www.hcourt.gov.au/sites/default/files/eresources/1952/HCA/3.pdf,hcourt,FALSE,FALSE
1,"Webb, Fullagar, and Kitto JJ)(See also Fingleton v The Queen","(2005)226 CLR 166,",https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=2006843388&pubNum=3586&originatingDoc=Ia55d130087b911e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=0565d82466ad488ea1bc9d5038183a42&contextData=(sc.Default)&comp=wlau,thomsonreuters,FALSE,FALSE
1,"Kitto JJ)(See also Fingleton v The Queen (2005)226 CLR 166,",196-197;,https://jade.io/article/309/section/140021,jade,TRUE,TRUE
1,"JJ)(See also Fingleton v The Queen (2005)226 CLR 166, 196-197;",[2005]HCA 34)should,https://www.hcourt.gov.au/sites/default/files/eresources/2005/HCA/34.pdf,hcourt,FALSE,FALSE
1,not merely taken ready-made ‘off the peg’(See Nembhard v The,Queen,https://a.next.westlaw.com/Document/I0C36BE70E42811DA8FC2A0F0355337E9/View/FullText.html?navigationPath=Search%2Fv3%2Fsearch%2Fresults%2Fnavigation%2Fi0ad6040d000001537c71e00fa4142741%3FNav%3DINTERNATIONAL-CASES%26fragmentIdentifier%3DI0C36BE70E42811DA8FC2A0F0355337E9%26startIndex%3D1%26contextData%3D%2528sc.Search%2529%26transitionType%3DSearchItem&listSource=Search&listPageSource=4cf985e53c104ae26a8d7f35c0262a08&list=INTERNATIONAL-CASES&rank=1&grading=na&sessionScopeId=9c6398fda1c5a4cf9d809a85968f93cc&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Search%29,westlaw,FALSE,FALSE
1,merely taken ready-made ‘off the peg’(See Nembhard v The Queen,"(1982)74 Cr App R 144,",https://a.next.westlaw.com/Document/I0C36BE70E42811DA8FC2A0F0355337E9/View/FullText.html?navigationPath=Search%2Fv3%2Fsearch%2Fresults%2Fnavigation%2Fi0ad6040d000001537c71e00fa4142741%3FNav%3DINTERNATIONAL-CASES%26fragmentIdentifier%3DI0C36BE70E42811DA8FC2A0F0355337E9%26startIndex%3D1%26contextData%3D%2528sc.Search%2529%26transitionType%3DSearchItem&listSource=Search&listPageSource=4cf985e53c104ae26a8d7f35c0262a08&list=INTERNATIONAL-CASES&rank=1&grading=na&sessionScopeId=9c6398fda1c5a4cf9d809a85968f93cc&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Search%29,westlaw,FALSE,FALSE
1,"peg’(See Nembhard v The Queen (1982)74 Cr App R 144,",148).,https://jade.io/citation/3378205/section/140214,jade,TRUE,TRUE
1,the High Court approved a statement in R v Lawrence,"[1982]AC 510,",https://www.iclr.co.uk/document/1971004555/casereport_45849/html,iclr,FALSE,FALSE
1,"Court approved a statement in R v Lawrence [1982]AC 510,",519,https://jade.io/citation/2795362/section/140093,jade,TRUE,TRUE
1,in relation to a particular case’. Cf R v Mogg,"(2000)112 A Crim R 417,",https://anzlaw.thomsonreuters.com/Document/I75a4a99088d411e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0&comp=wlau,thomsonreuters,FALSE,FALSE
1,"case’. Cf R v Mogg (2000)112 A Crim R 417,",426-427,https://jade.io/article/166653/section/4362,jade,TRUE,TRUE
1,"Cf R v Mogg (2000)112 A Crim R 417, 426-427","[50]-[52],",https://jade.io/article/166653/section/4362,jade,TRUE,TRUE
1,"R v Mogg (2000)112 A Crim R 417, 426-427 [50]-[52],",429-431,https://jade.io/article/166653/section/31708,jade,TRUE,TRUE
1,"v Mogg (2000)112 A Crim R 417, 426-427 [50]-[52], 429-431",[70]-[74];,https://jade.io/article/166653/section/31708,jade,TRUE,TRUE
