link_id,page_no,link_text,surrounding_text,link_destination,link_domain,jade_link,instrument_title,section_name,legislation_top_link
177,27,Section 51–Jury,2.2.1 Legislation [Last reviewed: May 2026] Jury Act 1995 (Qld) Section 51–Jury to be informed of charge in criminal trial Section 69A–Inquiries,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1995-042,qld,,Jury Act 1995 (QLD),Section 51,https://jade.io/article/352986
178,27,Section 69A–Inquiries,Section 51–Jury to be informed of charge in criminal trial Section 69A–Inquiries by juror about accused prohibited 2.2.2 Commentary [Last reviewed: May,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1995-042,qld,,Jury Act 1995 (QLD),Section 69A,https://jade.io/article/352986
268,44,Section 619–Speeches,Unrepresented Defendant 2.4.1 Legislation [Last reviewed: January 2026] Criminal Code Section 619–Speeches by counsel Criminal Practice Rules 1999 (Qld) Rule 50 –,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,Criminal Code Act 1899 (QLD),Section 619,https://jade.io/article/529633
269,44,Rule 50,Code Section 619–Speeches by counsel Criminal Practice Rules 1999 (Qld) Rule 50 – Addressing an accused person at the end of the,https://www.legislation.qld.gov.au/view/html/inforce/current/sl-1999-0112,qld,,Criminal Practice Rules 1999 (QLD),Rule 50,https://jade.io/article/413491
290,52,Section 613(3),for Trial 2.6.1 Legislation [Last reviewed: February 2026] Criminal Code Section 613(3) – Want of understanding of accused person Section 645–Accused person,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,Criminal Code Act 1899 (QLD),Section 613(3),https://jade.io/article/529633
291,52,Section 645–Accused,Code Section 613(3) – Want of understanding of accused person Section 645–Accused person insane during trial 2.6.2 Commentary [Last reviewed: February 2026],https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,Criminal Code Act 1899 (QLD),Section 645,https://jade.io/article/529633
328,56,Section 9–Presumption,Children 2.7.1 Legislation [Last reviewed: February 2026] Evidence Act 1977(Qld) Section 9–Presumption as to competency Section 9A–Competency to give evidence Section 9B–Competency,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1977-047,qld,,Evidence Act 1977 (QLD),Section 9,https://jade.io/article/353262
329,56,Section 9A–Competency,February 2026] Evidence Act 1977(Qld) Section 9–Presumption as to competency Section 9A–Competency to give evidence Section 9B–Competency to give sworn evidence Section,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1977-047,qld,,Evidence Act 1977 (QLD),Section 9A,https://jade.io/article/353262
330,56,Section 9B–Competency,Section 9–Presumption as to competency Section 9A–Competency to give evidence Section 9B–Competency to give sworn evidence Section 9C–Expert evidence about witness’s ability,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1977-047,qld,,Evidence Act 1977 (QLD),Section 9B,https://jade.io/article/353262
331,56,Section 9C–Expert,9A–Competency to give evidence Section 9B–Competency to give sworn evidence Section 9C–Expert evidence about witness’s ability to give evidence Section 9E–Principles for,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1977-047,qld,,Evidence Act 1977 (QLD),Section 9C,https://jade.io/article/353262
