link_id,page_no,link_text,surrounding_text,link_destination,link_domain
203,28,(2023) 14 QR 295,"Morrison JA agreeing)). Note, however, that in R v Ngakyunkwokka (2023)14 QR 295, 320 [88], 321-322 [93]-[96] the Court considered some interstate authorities,",https://www.queenslandjudgments.com.au/citation/2023-14-QR-295,queenslandjudgments
256,39,(2023) 16 QR 1,"The Queen (2007)232 CLR 208; [2007]HCA 55); R v BEC (2023) 16 QR 1, 38 [114] ff). The rationale for Queensland Supreme and District",https://www.queenslandjudgments.com.au/case/id/513257,queenslandjudgments
453,71,(2023) 16 QR 1;,"Queen (2007)232 CLR 208; [2007] HCA 55; R v BEC (2023)16 QR 1; [2023]QCA 154, [116], [137]-[138]). The transcript of the recording, (as",https://www.queenslandjudgments.com.au/citation/2023-16-QR-1,queenslandjudgments
454,71,[2023] QCA 154,"208; [2007] HCA 55; R v BEC (2023)16 QR 1; [2023]QCA 154, [116], [137]-[138]). The transcript of the recording, (as edited and",https://www.queenslandjudgments.com.au/caselaw/qca/2023/154,queenslandjudgments
459,71,(2023) 16 QR 1;,"do not usually go into the jury room(R v BEC (2023)16 QR 1; [2023]QCA 154, [103] and [113]; R v HCS [2024]QCA 193,",https://www.queenslandjudgments.com.au/citation/2023-16-QR-1,queenslandjudgments
460,71,[2023] QCA 154,"go into the jury room(R v BEC (2023)16 QR 1; [2023]QCA 154, [103] and [113]; R v HCS [2024]QCA 193, citing R",https://www.queenslandjudgments.com.au/caselaw/qca/2023/154,queenslandjudgments
480,71,[2022] QCA 207 ,until the process has reached its end(see R v SDL [2022] QCA 207 at [36] referring to R v Storey [2021]QCA,https://www.queenslandjudgments.com.au/caselaw/qca/2022/207/pdf,queenslandjudgments
481,71,[2022] QCA 207,the process has reached its end(see R v SDL [2022] QCA 207 at [36] referring to R v Storey [2021]QCA 265). See,https://www.queenslandjudgments.com.au/caselaw/qca/2022/207/pdf,queenslandjudgments
502,75,(2023) 16 QR 1,"judicially having regard to relevant considerations (see R v BEC (2023)16 QR 1, in particular at [147]). Although tendered as an exhibit, it",https://www.queenslandjudgments.com.au/citation/2023-16-QR-1,queenslandjudgments
509,75,(2023) 16 QR 1,"Queen (2007)232 CLR 208, [95]; [2007]HCA 55; R v BEC (2023)16 QR 1). While there are points of difference in the consideration of",https://www.queenslandjudgments.com.au/citation/2023-16-QR-1,queenslandjudgments
510,75,(2023) 16 QR,"their deliberations, similar risks arise for consideration(see R v BEC (2023)16 QR 1, in particular at [135],[141]-[147]). If the statement admitted pursuant",https://www.queenslandjudgments.com.au/citation/2023-16-QR-1,queenslandjudgments
511,75,(2023) 16 QR 1,"similar risks arise for consideration(see R v BEC (2023)16 QR 1, in particular at [135],[141]-[147]). If the statement admitted pursuant to",https://www.queenslandjudgments.com.au/citation/2023-16-QR-1,queenslandjudgments
513,75,[2024] QCA 124,"subject evidence by the defence(see for example R v AGJ [2024]QCA 124, [59]-[62], [140]). If any part of the video-recorded evidence of",https://www.queenslandjudgments.com.au/caselaw/qca/2024/124/pdf,queenslandjudgments
521,75,[2022] QCA 183,"rewatch the cross-examination of the witness (see R v CCW [2022]QCA 183, [107]). A trial judge ought to warn the jury of:",https://www.queenslandjudgments.com.au/caselaw/qca/2022/183/pdf,queenslandjudgments
539,76,[2022] QCA 207,"until the process has reached its end(see R v SDL [2022] QCA 207, [36], referring to R v Storey [2021]QCA 265).",https://www.queenslandjudgments.com.au/caselaw/qca/2022/207/pdf,queenslandjudgments
540,76,[2022] QCA 207,"the process has reached its end(see R v SDL [2022] QCA 207, [36], referring to R v Storey [2021]QCA 265). See further",https://www.queenslandjudgments.com.au/caselaw/qca/2022/207/pdf,queenslandjudgments
558,78,(2023) 16 QR,"R v H [1999]2 Qd R 283; R v BEC (2023)16 QR 1, [114]). When acceding to a jury’s request to be",https://www.queenslandjudgments.com.au/citation/2023-16-QR-1,queenslandjudgments
559,78,(2023) 16 QR 1,"H [1999]2 Qd R 283; R v BEC (2023)16 QR 1, [114]). When acceding to a jury’s request to be reminded",https://www.queenslandjudgments.com.au/citation/2023-16-QR-1,queenslandjudgments
637,90,[2024] QCA 156,"in Chapter 4.20 Prior Inconsistent Statements. In R v HMA [2024]QCA 156, the Court found that evidence of the verdict of the",https://www.queenslandjudgments.com.au/caselaw/qca/2024/156/pdf-view,queenslandjudgments
668,96,[2023] QCA 154,"room(R v H [1999]2 Qd R 283; R v BEC [2023]QCA 154, [114] ff). Whether or not the jury are to have",https://www.queenslandjudgments.com.au/caselaw/qca/2023/154/pdf,queenslandjudgments
927,135,[2023] QCA 210,"inculpatory and exculpatory pieces of evidence. In R v Spencer [2023]QCA 210, the Court of Appeal(Bowskill CJ, Morrison JA, and Crow J)",https://www.queenslandjudgments.com.au/caselaw/qca/2023/210,queenslandjudgments
928,136,[2023] QCA 210,"or pathway by which that verdict is reached?’(R v Spencer [2023]QCA 210, [88]). The Court in Spencer referred to R v Koko",https://www.queenslandjudgments.com.au/caselaw/qca/2023/210,queenslandjudgments
930,136,[2022] QCA 216,"[88]). The Court in Spencer referred to R v Koko [2022]QCA 216,[24]where two propositions were said to flow from the Victorian Court",https://www.queenslandjudgments.com.au/caselaw/qca/2022/216,queenslandjudgments
1199,166,(2023) 16 QR 1,"accusation. As explained by Livesey JA in R v BEC (2023)16 QR 1, 30 [87]: ‘Evidenceaboutastatementwhichhasbeenmadetoorinthepresenceofanaccused,whichwentunanswered by the accused, may or may not",https://www.queenslandjudgments.com.au/case/id/513257,queenslandjudgments
1256,174,[2024] QCA,"to whether any inferences were available, see R v Saraghi-Smith [2024]QCA 180, [51]-[57]. 4.9.3 Suggested Directions [Last reviewed: February 2026] The",https://www.queenslandjudgments.com.au/caselaw/qca/2024/180,queenslandjudgments
1257,174,[2024] QCA 180,"whether any inferences were available, see R v Saraghi-Smith [2024]QCA 180, [51]-[57]. 4.9.3 Suggested Directions [Last reviewed: February 2026] The defendant",https://www.queenslandjudgments.com.au/caselaw/qca/2024/180,queenslandjudgments
1265,176,[2023] QCA 261,on them in proof of guilt (see R v BEE [2023]QCA 261). Whether such a direction is required will depend on the,https://www.queenslandjudgments.com.au/caselaw/qca/2023/261,queenslandjudgments
1273,177,[2022] QCA 199,"651; [1989]HCA 55). For pre-text calls, see R v Han [2022]QCA 199 in which the Court of Appeal dealt with and dismissed",https://www.queenslandjudgments.com.au/caselaw/qca/2022/199,queenslandjudgments
1288,178,[2022] QCA 199,"pre-text calls were considered at length in R v Han [2022]QCA 199. In that decision, referring to authority, Flanagan J made the",https://www.queenslandjudgments.com.au/caselaw/qca/2022/199,queenslandjudgments
1343,186,[2022] QCA 180,"such conduct will require a direction. In R v WBS [2022]QCA 180, Dalton JA said at [20], citing R v Wildy (2011)111",https://www.queenslandjudgments.com.au/caselaw/qca/2022/180,queenslandjudgments
1398,192,[2023] QCA 210,"by Rafter AJ in the trial preceding R v Spencer [2023]QCA 210, a case in which the appellant(Spencer) was charged with murder.",https://www.queenslandjudgments.com.au/caselaw/qca/2023/210,queenslandjudgments
1401,193,[2023] QCA 210,"to above was not challenged on appeal (R v Spencer [2023]QCA 210, [153]). However, it was argued that a miscarriage of justice",https://www.queenslandjudgments.com.au/caselaw/qca/2023/210,queenslandjudgments
1419,196,[2023] QCA 222,"4.14.2 Commentary [Last reviewed: February 2026] In R v Smart [2023]QCA 222, Boddice JA(with whom Dalton and Flanagan JJA agreed)outlined the law",https://www.queenslandjudgments.com.au/caselaw/qca/2023/222,queenslandjudgments
1433,197,[2022] QCA 176,"The Queen (2000)200 CLR 234; [2000]HCA 28). In R v SDU [2022] QCA 176, Henry J at [19] explained that Zoneff suggested a direction",https://www.queenslandjudgments.com.au/caselaw/qca/2022/176,queenslandjudgments
1453,199,[2023] QCA 222,"4.15.2 Commentary [Last reviewed: June 2025] In R v Smart [2023]QCA 222, Boddice J(with whom Dalton and Flanagan JJA agreed)outlined the law",https://www.queenslandjudgments.com.au/caselaw/qca/2023/222,queenslandjudgments
1465,200,[2022] QCA 180,"would implicate him in the offence.’ In R v WBS [2022]QCA 180, Dalton JA said at [20], citing R v Wildy (2011)111",https://www.queenslandjudgments.com.au/caselaw/qca/2022/180,queenslandjudgments
1645,227,[2023] QCA 243,"beyond reasonable doubt. See Dalton JA in R v Waters [2023]QCA 243, in which her Honour said at [139](quoting Shepherd v The",https://www.queenslandjudgments.com.au/caselaw/qca/2023/243,queenslandjudgments
