ch,link_text,link_destination,domain,is_sublink
1,(2020) 3 QR 481,https://www.queenslandjudgments.com.au/case/id/512879,queenslandjudgments.com.au,False
1,",",https://anzlaw.thomsonreuters.com/Document/Iae65fda0306211eba70dde80f2a60461/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0,anzlaw.thomsonreuters.com,False
1,(1952) 85 CLR 437,https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=1952041631&pubNum=3586&originatingDoc=I97562d70879e11e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=a6eb94b965bf4925a0d9cee229290fba&contextData=(sc.Default)&comp=wlau,anzlaw.thomsonreuters.com,False
1,[1952] HCA 3,https://www.hcourt.gov.au/sites/default/files/eresources/1952/HCA/3.pdf,hcourt.gov.au,False
1,(2005) 226 CLR 166,https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=2006843388&pubNum=3586&originatingDoc=Ia55d130087b911e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=0565d82466ad488ea1bc9d5038183a42&contextData=(sc.Default)&comp=wlau,anzlaw.thomsonreuters.com,False
1,[2005] HCA 34,https://www.hcourt.gov.au/sites/default/files/eresources/2005/HCA/34.pdf,hcourt.gov.au,False
1, ,https://a.next.westlaw.com/Document/I0C36BE70E42811DA8FC2A0F0355337E9/View/FullText.html?navigationPath=Search%2Fv3%2Fsearch%2Fresults%2Fnavigation%2Fi0ad6040d000001537c71e00fa4142741%3FNav%3DINTERNATIONAL-CASES%26fragmentIdentifier%3DI0C36BE70E42811DA8FC2A0F0355337E9%26startIndex%3D1%26contextData%3D%2528sc.Search%2529%26transitionType%3DSearchItem&listSource=Search&listPageSource=4cf985e53c104ae26a8d7f35c0262a08&list=INTERNATIONAL-CASES&rank=1&grading=na&sessionScopeId=9c6398fda1c5a4cf9d809a85968f93cc&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Search%29,a.next.westlaw.com,False
1,(1982) 74 Cr App R 144,https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=g&serNum=1981032255&pubNum=4705&originatingDoc=I0C367050E42811DA8FC2A0F0355337E9&refType=UD&originationContext=document&transitionType=DocumentItem&ppcid=798560d0af4743ea84f7f2a53cc014f8&contextData=(sc.DocLink)&comp=wlau,anzlaw.thomsonreuters.com,False
1,") 117 ALR 193, 200; [1993] HCA 43",https://jade.io/article/67774,jade.io,False
1,[1982] AC 510,https://www.iclr.co.uk/document/1971004555/casereport_45849/html,iclr.co.uk,False
1,(2000) 112 A Crim R 417,https://anzlaw.thomsonreuters.com/Document/I75a4a99088d411e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0&comp=wlau,anzlaw.thomsonreuters.com,False
1,[2000] QCA 244,https://www.queenslandjudgments.com.au/caselaw/qca/2000/244,queenslandjudgments.com.au,False
