link_id,page_no,link_text,surrounding_text,link_destination,link_domain,jade_link,match_score,potential_jade_link_text,potential_jade_link,link_text_match
3018,461,Section 321A–Bomb,s 321A(2) 10.15.1 Legislation [Last reviewed: April 2025] Criminal Code Section 321A–Bomb Hoaxes 10.15.2 Commentary [Last reviewed: April 2025] The Defendant: 1.,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,0.121212,(1880)5 QBD 307;,https://jade.io/citation/5314252,No Match
3272,525,Section 6,impairment of the mind(version current immediately before 1 August 2023) Section 6 - Carnal Knowledge(version current immediately before 1 August 2023) 11.12.2,https://www.legislation.qld.gov.au/view/html/inforce/2023-03-22/act-1899-009,qld,,0.241379,Health and other Legislation Amendment Act 2016,https://jade.io/article/496480,No Match
997,142,Section 57–Continuation,Jury Act 1995(Qld) Section 56–Discharge or death of individual juror Section 57–Continuation of trial with less than full number of jurors Section,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1995-042,qld,,0.242424,46,https://jade.io/article/282157/section/785,No Match
3690,641,Section 208–Unlawful,June 1997 Section 208–Unlawful sodomy as at 30 November 2008 Section 208–Unlawful sodomy as at 28 April 2013 Section 208–Unlawful sodomy as,https://www.legislation.qld.gov.au/view/html/2013-04-28/act-1899-009,qld,,0.258929,Acts Interpretation,https://jade.io/article/529695,No Match
2125,282,Section 103Y–No,subdivision 2 to trial by judge or magistrate sitting alone Section 103Y–No limit of court’s duty to direct jury Section 103Z–Content of,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1977-047,qld,,0.262443,1977,https://jade.io/article/353262,No Match
1261,176,Section 436–Recording,lawyer Section 435–Rights of a person to be electronically recorded Section 436–Recording of questioning etc. Section 437–Requirements for written record of confession,https://www.legislation.qld.gov.au/view/html/inforce/current/act-2000-005,qld,,0.281588,Police Powers and Responsibilities Act 2000:,https://jade.io/article/346465,No Match
3688,641,Section 208–Unlawful,at 2 July 1989 Section 208–as at 18 January 1991 Section 208–Unlawful anal intercourse as at 30 June 1997 Section 208–Unlawful sodomy,https://www.legislation.qld.gov.au/view/html/1997-06-30/act-1899-009,qld,,0.290909,"Acts Interpretation Act 1954,",https://jade.io/article/529695,No Match
3070,477,Section 348,Legislation [Last reviewed: January 2026] Criminal Code Section 349 –Rape Section 348 – Meaning of consent (offences committed partly or wholly on,https://www.legislation.qld.gov.au/view/html/inforce/2024-08-30/act-1899-009,qld,,0.291498,"1986 (NSW),",https://jade.io/article/275297,No Match
3689,641,Section 208–Unlawful,1991 Section 208–Unlawful anal intercourse as at 30 June 1997 Section 208–Unlawful sodomy as at 30 November 2008 Section 208–Unlawful sodomy as,https://www.legislation.qld.gov.au/view/html/2008-11-30/act-1899-009,qld,,0.29703,735,https://jade.io/article/554716/section/3295,No Match
3975,730,Section 129–Evidentiary,Misuse Act 1986 (Qld) Section 9–Possessing dangerous drugs Section 4–Definitions Section 129–Evidentiary provisions 14.1.2 Commentary [Last reviewed: December 2024] The defendant must,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1986-036,qld,,0.321569,226),https://jade.io/citation/437352/section/140091,No Match
3691,641,Section 208–Unlawful,November 2008 Section 208–Unlawful sodomy as at 28 April 2013 Section 208–Unlawful sodomy as at 22 September 2016 Section 11–Effect of changes,https://www.legislation.qld.gov.au/view/html/2016-09-22/act-1899-009,qld,,0.321739,2016 (Qld),https://jade.io/article/496480,No Match
