page_no,link_text,link_destination, link_domain
1,"(1952)85 CLR 437,",https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=1952041631&pubNum=3586&originatingDoc=I97562d70879e11e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=a6eb94b965bf4925a0d9cee229290fba&contextData=(sc.Default)&comp=wlau, anzlaw.thomsonreuters.com
1,"[1952]HCA 3(Dixon,",https://www.hcourt.gov.au/sites/default/files/eresources/1952/HCA/3.pdf, www.hcourt.gov.au
1,"(2005)226 CLR 166,",https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=2006843388&pubNum=3586&originatingDoc=Ia55d130087b911e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=0565d82466ad488ea1bc9d5038183a42&contextData=(sc.Default)&comp=wlau, anzlaw.thomsonreuters.com
1,[2005]HCA 34)should,https://www.hcourt.gov.au/sites/default/files/eresources/2005/HCA/34.pdf, www.hcourt.gov.au
1,Queen,https://a.next.westlaw.com/Document/I0C36BE70E42811DA8FC2A0F0355337E9/View/FullText.html?navigationPath=Search%2Fv3%2Fsearch%2Fresults%2Fnavigation%2Fi0ad6040d000001537c71e00fa4142741%3FNav%3DINTERNATIONAL-CASES%26fragmentIdentifier%3DI0C36BE70E42811DA8FC2A0F0355337E9%26startIndex%3D1%26contextData%3D%2528sc.Search%2529%26transitionType%3DSearchItem&listSource=Search&listPageSource=4cf985e53c104ae26a8d7f35c0262a08&list=INTERNATIONAL-CASES&rank=1&grading=na&sessionScopeId=9c6398fda1c5a4cf9d809a85968f93cc&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Search%29, a.next.westlaw.com
1,"(1982)74 Cr App R 144,",https://a.next.westlaw.com/Document/I0C36BE70E42811DA8FC2A0F0355337E9/View/FullText.html?navigationPath=Search%2Fv3%2Fsearch%2Fresults%2Fnavigation%2Fi0ad6040d000001537c71e00fa4142741%3FNav%3DINTERNATIONAL-CASES%26fragmentIdentifier%3DI0C36BE70E42811DA8FC2A0F0355337E9%26startIndex%3D1%26contextData%3D%2528sc.Search%2529%26transitionType%3DSearchItem&listSource=Search&listPageSource=4cf985e53c104ae26a8d7f35c0262a08&list=INTERNATIONAL-CASES&rank=1&grading=na&sessionScopeId=9c6398fda1c5a4cf9d809a85968f93cc&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Search%29, a.next.westlaw.com
1,"[1982]AC 510,",https://www.iclr.co.uk/document/1971004555/casereport_45849/html, www.iclr.co.uk
1,"(2000)112 A Crim R 417,",https://anzlaw.thomsonreuters.com/Document/I75a4a99088d411e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0&comp=wlau, anzlaw.thomsonreuters.com
1,(2000)114,https://anzlaw.thomsonreuters.com/Document/I34835ed088ab11e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0, anzlaw.thomsonreuters.com
1,"A Crim R 573,",https://anzlaw.thomsonreuters.com/Document/I34835ed088ab11e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0, anzlaw.thomsonreuters.com
1,[1999]NSWCCA 122)and,https://www.caselaw.nsw.gov.au/decision/549f9b7d3004262463b18074, www.caselaw.nsw.gov.au
2,(2000)199 CLR 620;,https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=2000496633&pubNum=3586&originatingDoc=Idb17678087b311e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=674c6d5109dd4a51b163430e877377de&contextData=(sc.Default)&comp=wlau, anzlaw.thomsonreuters.com
2,620; [2000]HCA 3)’.,https://anzlaw.thomsonreuters.com/Document/Idb17678087b311e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0, anzlaw.thomsonreuters.com
2,"[1973]1 WLR 276,",https://www.iclr.co.uk/document/1971002945/casereport_43533/html, www.iclr.co.uk
2,"[1981]1 WLR 355,",https://www.iclr.co.uk/document/1981004518/casereport_75793/html, www.iclr.co.uk
2,"(1986)7 NSWLR 554,",https://anzlaw.thomsonreuters.com/Document/If661a9d0881011e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0&comp=wlau, anzlaw.thomsonreuters.com
2,"[1973]1 WLR 488,",https://www.iclr.co.uk/document/1971004959/casereport_16268/html, www.iclr.co.uk
2,"[1968]1 QB 421,",https://www.iclr.co.uk/document/1961003961/casereport_53167/html, www.iclr.co.uk
2,[1967]EWCA Crim 1.,https://www.bailii.org/ew/cases/EWCA/Crim/1967/1.html, www.bailii.org
2,"(2000)112 A Crim R 417,",https://anzlaw.thomsonreuters.com/Document/I75a4a99088d411e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0&comp=wlau, anzlaw.thomsonreuters.com
3,"(2002)76 ALJR 628,",https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=2002178223&pubNum=5147&originatingDoc=I6f4c1e9087b511e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=76acafcb7d4440a5bf6494b4d76093e4&contextData=(sc.Default)&comp=wlau, anzlaw.thomsonreuters.com
3,[2002]HCA 12.,https://www.hcourt.gov.au/sites/default/files/eresources/2002/HCA/12.pdf, www.hcourt.gov.au
